"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Transrail Lighting Limited","EQ","   432","TRANSRAILL","19-DEC-2024","23-DEC-2024","Rs.410 to Rs.432","27-DEC-2024"
"International Gemmological Institute (India) Limited","EQ","   417","IGIL","13-DEC-2024","17-DEC-2024","Rs.397 to Rs.417","20-DEC-2024"
"Inventurus Knowledge Solutions Limited","EQ","  1329","IKS","12-DEC-2024","16-DEC-2024","Rs.1265 to Rs.1329","19-DEC-2024"
"One MobiKwik Systems Limited","EQ","   279","MOBIKWIK","11-DEC-2024","13-DEC-2024","Rs.265 to Rs.279","18-DEC-2024"
"Sai Life Sciences Limited","EQ","   549","SAILIFE","11-DEC-2024","13-DEC-2024","Rs.522 to Rs.549","18-DEC-2024"
"Vishal Mega Mart Limited","EQ","    78","VMM","11-DEC-2024","13-DEC-2024","Rs.74 to Rs.78","18-DEC-2024"
"Suraksha Diagnostic Limited","EQ","   441","SURAKSHA","29-NOV-2024","03-DEC-2024","Rs.420 to Rs.441","06-DEC-2024"
"Enviro Infra Engineers Limited","EQ","   148","EIEL","22-NOV-2024","26-NOV-2024","Rs.140 to Rs.148","29-NOV-2024"
"NTPC Green Energy Limited","EQ","   108","NTPCGREEN","19-NOV-2024","22-NOV-2024","Rs.102 to Rs.108","27-NOV-2024"
"Zinka Logistics Solutions Limited","EQ","   273","BLACKBUCK","13-NOV-2024","18-NOV-2024","Rs.259 to Rs.273","22-NOV-2024"
"Niva Bupa Health Insurance Company Limited","EQ","    74","NIVABUPA","07-NOV-2024","11-NOV-2024","Rs.70 to Rs.74","14-NOV-2024"
"ACME Solar Holdings Limited","EQ","   289","ACMESOLAR","06-NOV-2024","08-NOV-2024","Rs.275 to Rs.289","13-NOV-2024"
"Swiggy Limited","EQ","   390","SWIGGY","06-NOV-2024","08-NOV-2024","Rs.371 to Rs.390","13-NOV-2024"
"Sagility India Limited","EQ","    30","SAGILITY","05-NOV-2024","07-NOV-2024","Rs.28 to Rs.30","12-NOV-2024"
"Godavari Biorefineries Limited","EQ","   352","GODAVARIB","23-OCT-2024","25-OCT-2024","Rs.334 to Rs.352","30-OCT-2024"
"Deepak Builders & Engineers India Limited","EQ","   203","DBEIL","21-OCT-2024","23-OCT-2024","Rs.192 to Rs.203","28-OCT-2024"
"Waaree Energies Limited","EQ","  1503","WAAREEENER","21-OCT-2024","23-OCT-2024","Rs.1427 to Rs.1503","28-OCT-2024"
"Hyundai Motor India Limited","EQ","  1960","HYUNDAI","15-OCT-2024","17-OCT-2024","Rs.1865 to Rs.1960","22-OCT-2024"
"Garuda Construction and Engineering Limited","EQ","    95","GARUDA","08-OCT-2024","10-OCT-2024","Rs.90 to Rs.95","15-OCT-2024"
"Diffusion Engineers Limited","BE","   168","DIFFNKG","26-SEP-2024","30-SEP-2024","Rs.159 to Rs.168","04-OCT-2024"
"KRN Heat Exchanger and Refrigeration Limited","EQ","   220","KRN","25-SEP-2024","27-SEP-2024","Rs.209 to Rs.220","03-OCT-2024"
"Manba Finance Limited","BE","   120","MANBA","23-SEP-2024","25-SEP-2024","Rs.114 to Rs.120","30-SEP-2024"
"Northern Arc Capital Limited","EQ","   263","NORTHARC","16-SEP-2024","19-SEP-2024","Rs.249 to Rs.263","24-SEP-2024"
"Arkade Developers Limited","EQ","   128","ARKADE","16-SEP-2024","19-SEP-2024","Rs.121 to Rs.128","24-SEP-2024"
"Western Carriers (India) Limited","EQ","   172","WCIL","13-SEP-2024","19-SEP-2024","Rs.163 to Rs.172","24-SEP-2024"
"P N Gadgil Jewellers Limited","EQ","   480","PNGJL","10-SEP-2024","12-SEP-2024","Rs.456 to Rs.480","17-SEP-2024"
"Tolins Tyres Limited","BE","   226","TOLINS","09-SEP-2024","11-SEP-2024","Rs.215 to Rs.226","16-SEP-2024"
"Bajaj Housing Finance Limited","EQ","    70","BAJAJHFL","09-SEP-2024","11-SEP-2024","Rs.66 to Rs.70","16-SEP-2024"
"Kross Limited","EQ","   240","KROSS","09-SEP-2024","11-SEP-2024","Rs.228 to Rs.240","16-SEP-2024"
"Shree Tirupati Balajee Agro Trading Company Limited","BE","    83","BALAJEE","05-SEP-2024","09-SEP-2024","Rs.78 to Rs.83","12-SEP-2024"
"Gala Precision Engineering Limited","BE","   529","GALAPREC","02-SEP-2024","04-SEP-2024","Rs.503 to Rs.529","09-SEP-2024"
"Baazar Style Retail Limited","EQ","   389","STYLEBAAZA","30-AUG-2024","03-SEP-2024","Rs.370 to Rs.389","06-SEP-2024"
"Ecos (India) Mobility & Hospitality Limited","EQ","   334","ECOSMOBLTY","28-AUG-2024","30-AUG-2024","Rs.318 to Rs.334","04-SEP-2024"
"Premier Energies Limited","EQ","   450","PREMIERENE","27-AUG-2024","29-AUG-2024","Rs.427 to Rs.450","03-SEP-2024"
"Orient Technologies Limited","BE","   206","ORIENTTECH","21-AUG-2024","23-AUG-2024","Rs.195 to Rs.206","28-AUG-2024"
"Interarch Building Products Limited","EQ","   900","INTERARCH","19-AUG-2024","21-AUG-2024","Rs.850 to Rs.900","26-AUG-2024"
"Saraswati Saree Depot Limited","BE","   160","SSDL","12-AUG-2024","14-AUG-2024","Rs.152 to Rs.160","20-AUG-2024"
"Unicommerce eSolutions Limited","EQ","   108","UNIECOM","06-AUG-2024","08-AUG-2024","Rs.102 to Rs.108","13-AUG-2024"
"Brainbees Solutions Limited","EQ","   465","FIRSTCRY","06-AUG-2024","08-AUG-2024","Rs.440 to Rs.465","13-AUG-2024"
"Ola Electric Mobility Limited","EQ","    76","OLAELEC","02-AUG-2024","06-AUG-2024","Rs.72 to Rs.76","09-AUG-2024"
"Ceigall India Limited","EQ","   401","CEIGALL","01-AUG-2024","05-AUG-2024","Rs.380 to Rs.401","08-AUG-2024"
"Akums Drugs and Pharmaceuticals Limited","EQ","   679","AKUMS","30-JUL-2024","01-AUG-2024","Rs.646 to Rs.679","06-AUG-2024"
"Sanstar Limited","EQ","    95","SANSTAR","19-JUL-2024","23-JUL-2024","Rs.90 to Rs.95","26-JUL-2024"
"Bansal Wire Industries Limited","EQ","   256","BANSALWIRE","03-JUL-2024","05-JUL-2024","Rs.243 to Rs.256","10-JUL-2024"
"Emcure Pharmaceuticals Limited","EQ","  1008","EMCURE","03-JUL-2024","05-JUL-2024","Rs.960 to Rs.1008","10-JUL-2024"
"Vraj Iron and Steel Limited","BE","   207","VRAJ","26-JUN-2024","28-JUN-2024","Rs.195 to Rs.207","03-JUL-2024"
"Allied Blenders and Distillers Limited","EQ","   281","ABDL","25-JUN-2024","27-JUN-2024","Rs.267 to Rs.281","02-JUL-2024"
"Stanley Lifestyles Limited","EQ","   369","STANLEY","21-JUN-2024","25-JUN-2024","Rs.351 to Rs.369","28-JUN-2024"
"DEE Development Engineers Limited","EQ","   203","DEEDEV","19-JUN-2024","21-JUN-2024","Rs.193 to Rs.203","26-JUN-2024"
"Le Travenues Technology Limited","EQ","    93","IXIGO","10-JUN-2024","12-JUN-2024","Rs.88 to Rs.93","18-JUN-2024"
"Kronox Lab SciencesLimited","EQ","   136","KRONOX","03-JUN-2024","05-JUN-2024","Rs.129 to Rs.136","10-JUN-2024"
"Awfis Space Solutions Limited","EQ","   383","AWFIS","22-MAY-2024","27-MAY-2024","Rs.364 to Rs.383","30-MAY-2024"
"Go Digit General Insurance Limited","EQ","   272","GODIGIT","15-MAY-2024","17-MAY-2024","Rs.258 to Rs.272","23-MAY-2024"
"TBO Tek Limited","EQ","   920","TBOTEK","08-MAY-2024","10-MAY-2024","Rs.875 to Rs.920","15-MAY-2024"
"Aadhar Housing Finance Limited","EQ","   315","AADHARHFC","08-MAY-2024","10-MAY-2024","Rs.300 to Rs.315","15-MAY-2024"
"Indegene Limited","EQ","   452","INDGN","06-MAY-2024","08-MAY-2024","Rs.430 to Rs.452","13-MAY-2024"
"JNK India Limited","EQ","   415","JNKINDIA","23-APR-2024","25-APR-2024","Rs.395 to Rs.415","30-APR-2024"
"Vodafone Idea Limited - FPO","EQ","-","IDEAFPO","18-APR-2024","22-APR-2024","Rs.10 to Rs.11","25-APR-2024"
"Bharti Hexacom Limited","EQ","   570","BHARTIHEXA","03-APR-2024","05-APR-2024","Rs.542 to Rs.570","12-APR-2024"
"SRM Contractors Limited","BE","   210","SRM","26-MAR-2024","28-MAR-2024","Rs.200 to Rs.210","03-APR-2024"
"Krystal Integrated Services Limited","EQ","   715","KRYSTAL","14-MAR-2024","18-MAR-2024","Rs.680 to Rs.715","21-MAR-2024"
"Popular Vehicles and Services Limited","EQ","   295","PVSL","12-MAR-2024","14-MAR-2024","Rs.280 to Rs.295","19-MAR-2024"
"Gopal Snacks Limited","EQ","   401","GOPAL","06-MAR-2024","11-MAR-2024","Rs.381 to Rs.401","14-MAR-2024"
"J G Chemicals Limited","EQ","   221","JGCHEM","05-MAR-2024","07-MAR-2024","Rs.210 to Rs.221","13-MAR-2024"
"R K Swamy Limited","EQ","   288","RKSWAMY","04-MAR-2024","06-MAR-2024","Rs.270 to Rs.288","12-MAR-2024"
"Mukka Proteins Limited","BE","    28","MUKKA","29-FEB-2024","04-MAR-2024","Rs.26 to Rs.28","07-MAR-2024"
"Exicom Telesystems Limited","EQ","   142","EXICOM","27-FEB-2024","29-FEB-2024","Rs.135 to Rs.142","05-MAR-2024"
"Platinum Industries Limited","BE","   171","PLATIND","27-FEB-2024","29-FEB-2024","Rs.162 to Rs.171","05-MAR-2024"
"GPT Healthcare Limited","EQ","   186","GPTHEALTH","22-FEB-2024","26-FEB-2024","Rs.177 to Rs.186","29-FEB-2024"
"Juniper Hotels Limited","EQ","   360","JUNIPER","21-FEB-2024","23-FEB-2024","Rs.342 to Rs.360","28-FEB-2024"
"Vibhor Steel Tubes Limited","BE","   151","VSTL","13-FEB-2024","15-FEB-2024","Rs.141 to Rs.151","20-FEB-2024"
"Entero Healthcare Solutions Limited","EQ","  1258","ENTERO","09-FEB-2024","13-FEB-2024","Rs.1195 to Rs.1258","16-FEB-2024"
"Capital Small Finance Bank Limited","EQ","   468","CAPITALSFB","07-FEB-2024","09-FEB-2024","Rs.445 to Rs.468","14-FEB-2024"
"Rashi Peripherals Limited","EQ","   311","RPTECH","07-FEB-2024","09-FEB-2024","Rs.295 to Rs.311","14-FEB-2024"
"Jana Small Finance Bank Limited","EQ","   414","JSFB","07-FEB-2024","09-FEB-2024","Rs.393 to Rs.414","14-FEB-2024"
"Apeejay Surrendra Park Hotels Limited","EQ","   155","PARKHOTELS","05-FEB-2024","07-FEB-2024","Rs.147 to Rs.155","12-FEB-2024"
"BLS E- Services Limited","EQ","   135","BLSE","30-JAN-2024","01-FEB-2024","Rs.129 to Rs.135","06-FEB-2024"
"Nova Agritech Limited","BE","    41","NOVAAGRI","23-JAN-2024","25-JAN-2024","Rs.39 to Rs.41","31-JAN-2024"
"EPACK Durable Limited","EQ","   230","EPACK","19-JAN-2024","24-JAN-2024","Rs.218 to Rs.230","30-JAN-2024"
"Medi Assist Healthcare Services Limited","EQ","   418","MEDIASSIST","15-JAN-2024","17-JAN-2024","Rs.397 to Rs.418","23-JAN-2024"
"Jyoti CNC Automation Limited","EQ","   331","JYOTICNC","09-JAN-2024","11-JAN-2024","Rs.315 to Rs.331","16-JAN-2024"
"Innova Captab Limited","EQ","   448","INNOVACAP","21-DEC-2023","26-DEC-2023","Rs.426 to Rs.448","29-DEC-2023"
"Azad Engineering Limited","EQ","   524","AZAD","20-DEC-2023","22-DEC-2023","Rs.499 to Rs.524","28-DEC-2023"
"RBZ Jewellers Limited","BE","   100","RBZJEWEL","19-DEC-2023","21-DEC-2023","Rs.95 to Rs.100","27-DEC-2023"
"Happy Forging Limited","EQ","   850","HAPPYFORGE","19-DEC-2023","21-DEC-2023","Rs.808 to Rs.850","27-DEC-2023"
"Credo Brands Marketing Limited","EQ","   280","MUFTI","19-DEC-2023","21-DEC-2023","Rs.266 to Rs.280","27-DEC-2023"
"Motisons Jewellers Limited","BE","    55","MOTISONS","18-DEC-2023","20-DEC-2023","Rs.52 to Rs.55","26-DEC-2023"
"Suraj Estate Developers Limited","EQ","   360","SURAJEST","18-DEC-2023","20-DEC-2023","Rs.340 to Rs.360","26-DEC-2023"
"Muthoot Microfin Limited","EQ","   291","MUTHOOTMF","18-DEC-2023","20-DEC-2023","Rs.277 to Rs.291","26-DEC-2023"
"INOX India Limited","EQ","   660","INOXINDIA","14-DEC-2023","18-DEC-2023","Rs.627 to Rs.660","21-DEC-2023"
"DOMS Industries Limited","EQ","   790","DOMS","13-DEC-2023","15-DEC-2023","Rs.750 to Rs.790","20-DEC-2023"
"India Shelter Finance Corporation Limited","EQ","   493","INDIASHLTR","13-DEC-2023","15-DEC-2023","Rs.469 to Rs.493","20-DEC-2023"
"Gandhar Oil Refinery (India) Limited","EQ","   169","GANDHAR","22-NOV-2023","24-NOV-2023","Rs.160 to Rs.169","30-NOV-2023"
"Fedbank Financial Services Limited","EQ","   140","FEDFINA","22-NOV-2023","24-NOV-2023","Rs.133 to Rs.140","30-NOV-2023"
"Tata Technologies Limited","EQ","   500","TATATECH","22-NOV-2023","24-NOV-2023","Rs.475 to Rs.500","30-NOV-2023"
"Flair Writing Industries Limited","EQ","   304","FLAIR","22-NOV-2023","24-NOV-2023","Rs.288 to Rs.304","01-DEC-2023"
"ASK Automotive Limited","EQ","   282","ASKAUTOLTD","07-NOV-2023","09-NOV-2023","Rs.268 to Rs.282","15-NOV-2023"
"Protean eGov Technologies Limited","EQ","  1381","PROTEAN","06-NOV-2023","08-NOV-2023","Rs.752 to Rs.792","06-FEB-2025"
"Honasa Consumer Limited","EQ","   324","HONASA","31-OCT-2023","02-NOV-2023","Rs.308 to Rs.324","07-NOV-2023"
"Cello World Limited","EQ","   648","CELLO","30-OCT-2023","01-NOV-2023","Rs.617 to Rs.648","06-NOV-2023"
"Blue Jet Healthcare Limited","EQ","   346","BLUEJET","25-OCT-2023","27-OCT-2023","Rs.329 to Rs.346","01-NOV-2023"
"IRM ENERGY LIMITED","EQ","   505","IRMENERGY","18-OCT-2023","20-OCT-2023","Rs.480 to Rs.505","26-OCT-2023"
"Plaza Wires Limited","BE","    54","PLAZACABLE","29-SEP-2023","05-OCT-2023","Rs.51 to Rs.54","12-OCT-2023"
"Valiant Laboratories Limited","BE","   140","VALIANTLAB","27-SEP-2023","03-OCT-2023","Rs.133 to Rs.140","06-OCT-2023"
"Updater Services Limited","EQ","   300","UDS","25-SEP-2023","27-SEP-2023","Rs.280 to Rs.300","04-OCT-2023"
"JSW Infrastructure Limited","EQ","   119","JSWINFRA","25-SEP-2023","27-SEP-2023","Rs.113 to Rs.119","03-OCT-2023"
"Manoj Vaibhav Gems N Jewellers Limited","EQ","   215","MVGJL","22-SEP-2023","26-SEP-2023","Rs.204 to Rs.215","03-OCT-2023"
"Sai Silks (Kalamandir) Limited","EQ","   222","KALAMANDIR","20-SEP-2023","22-SEP-2023","Rs.210 to Rs.222","27-SEP-2023"
"Signatureglobal (India) Limited","EQ","   385","SIGNATURE","20-SEP-2023","22-SEP-2023","Rs.366 to Rs.385","27-SEP-2023"
"Yatra Online Limited","EQ","   142","YATRA","15-SEP-2023","20-SEP-2023","Rs.135 to Rs.142","28-SEP-2023"
"Zaggle Prepaid Ocean Services Limited","EQ","   164","ZAGGLE","14-SEP-2023","18-SEP-2023","Rs.156 to Rs.164","22-SEP-2023"
"SAMHI Hotels Limited","EQ","   126","SAMHI","14-SEP-2023","18-SEP-2023","Rs.119 to Rs.126","22-SEP-2023"
"R R Kabel Limited","EQ","  1035","RRKABEL","13-SEP-2023","15-SEP-2023","Rs.983 to Rs.1035","20-SEP-2023"
"EMS Limited","EQ","   211","EMSLIMITED","08-SEP-2023","12-SEP-2023","Rs.200 to Rs.211","21-SEP-2023"
"Jupiter Life Line Hospitals Limited","EQ","   735","JLHL","06-SEP-2023","08-SEP-2023","Rs.695 to Rs.735","18-SEP-2023"
"Ratnaveer Precision Engineering Limited","BE","    98","RATNAVEER","04-SEP-2023","06-SEP-2023","Rs.93 to Rs.98","11-SEP-2023"
"Rishabh Instruments Limited","EQ","   441","RISHABH","30-AUG-2023","01-SEP-2023","Rs.418 to Rs.441","11-SEP-2023"
"Vishnu Prakash R Punglia Limited","EQ","    99","VPRPL","24-AUG-2023","28-AUG-2023","Rs.94 to Rs.99","05-SEP-2023"
"Aeroflex Industries Limited","EQ","   108","AEROFLEX","22-AUG-2023","24-AUG-2023","Rs.102 to Rs.108","31-AUG-2023"
"Pyramid Technoplast Limited","BE","   166","PYRAMID","18-AUG-2023","22-AUG-2023","Rs.151 to Rs.166","29-AUG-2023"
"TVS Supply Chain Solutions Limited","EQ","   197","TVSSCS","10-AUG-2023","14-AUG-2023","Rs.187 to Rs.197","23-AUG-2023"
"Concord Biotech Limited","EQ","   741","CONCORDBIO","04-AUG-2023","08-AUG-2023","Rs.705 to Rs.741","18-AUG-2023"
"SBFC Finance Limited","EQ","    57","SBFC","03-AUG-2023","07-AUG-2023","Rs.54 to Rs.57","16-AUG-2023"
"Yatharth Hospital and Trauma Care Services Limited","EQ","   300","YATHARTH","26-JUL-2023","28-JUL-2023","Rs.285 to Rs.300","07-AUG-2023"
"Netweb Technologies India Limited","EQ","   500","NETWEB","17-JUL-2023","19-JUL-2023","Rs.475 to Rs.500","27-JUL-2023"
"Utkarsh Small Finance Bank Limited","EQ","    25","UTKARSHBNK","12-JUL-2023","14-JUL-2023","Rs.23 to Rs.25","21-JUL-2023"
"Senco Gold Limited","EQ","   317","SENCO","04-JUL-2023","06-JUL-2023","Rs.301 to Rs.317","14-JUL-2023"
"PKH Ventures Limited - Issue Withdrawn","EQ","-","PKH","30-JUN-2023","04-JUL-2023","Rs.140 to Rs.148","-"
"PKH Ventures Limited","EQ","-","PKH","30-JUN-2023","04-JUL-2023","Rs.140 to Rs.148","-"
"Cyient DLM Limited","EQ","   265","CYIENTDLM","27-JUN-2023","30-JUN-2023","Rs.250 to Rs.265","10-JUL-2023"
"Ideaforge Technology Limited","EQ","   672","IDEAFORGE","26-JUN-2023","30-JUN-2023","Rs.638 to Rs.672","07-JUL-2023"
"HMA Agro Industries Limited","EQ","   585","HMAAGRO","20-JUN-2023","23-JUN-2023","Rs.555 to Rs.585","04-JUL-2023"
"IKIO Lighting Limited","EQ","   285","IKIO","06-JUN-2023","08-JUN-2023","Rs.270 to Rs.285","16-JUN-2023"
"Mankind Pharma Limited","EQ","  1080","MANKIND","25-APR-2023","27-APR-2023","Rs.1026 to Rs.1080","09-MAY-2023"
"Avalon Technologies Limited","EQ","   436","AVALON","03-APR-2023","06-APR-2023","Rs.415 to Rs.436","18-APR-2023"
"Udayshivakumar Infra Limited","BE","    35","USK","20-MAR-2023","23-MAR-2023","Rs.33 to Rs.35","03-APR-2023"
"Global Surfaces Limited","BE","   140","GSLSU","13-MAR-2023","15-MAR-2023","Rs.133 to Rs.140","23-MAR-2023"
"Divgi TorqTransfer Systems Limited","EQ","   590","DIVGIITTS","01-MAR-2023","03-MAR-2023","Rs.560 to Rs.590","14-MAR-2023"
"Adani Enterprises Limited-FPO","EQ","-","ADANIENTPP","27-JAN-2023","31-JAN-2023","Rs.1556 to Rs.1638","-"
"Sah Polymers Limited","BE","    65","SAH","30-DEC-2022","04-JAN-2023","Rs.61 to Rs.65","12-JAN-2023"
"Radiant Cash Management Services Limited","EQ","    94","RADIANTCMS","23-DEC-2022","27-DEC-2022","Rs.94 to Rs.99","04-JAN-2023"
"Elin Electronics Limited","EQ","   247","ELIN","20-DEC-2022","22-DEC-2022","Rs.234 to Rs.247","30-DEC-2022"
"KFin Technologies Limited","EQ","   366","KFINTECH","19-DEC-2022","21-DEC-2022","Rs.347 to Rs.366","29-DEC-2022"
"Landmark Cars Limited","EQ","   506","LANDMARK","13-DEC-2022","15-DEC-2022","Rs.481 to Rs.506","23-DEC-2022"
"Sula Vineyards Limited","EQ","   357","SULA","12-DEC-2022","14-DEC-2022","Rs.340 to Rs.357","22-DEC-2022"
"Abans Holdings Limited","EQ","   270","AHL","12-DEC-2022","15-DEC-2022","Rs.256 to Rs.270","23-DEC-2022"
"Uniparts India Limited","EQ","   577","UNIPARTS","30-NOV-2022","02-DEC-2022","Rs.548 to Rs.577","12-DEC-2022"
"Dharmaj Crop Guard Limited","EQ","   237","DHARMAJ","28-NOV-2022","30-NOV-2022","Rs.216 to Rs.237	","08-DEC-2022"
"Keystone Realtors Limited","EQ","   541","RUSTOMJEE","14-NOV-2022","16-NOV-2022","Rs.514 to Rs.541","24-NOV-2022"
"Inox Green Energy Services Limited","EQ","    65","INOXGREEN","11-NOV-2022","15-NOV-2022","Rs.61 to Rs.65","23-NOV-2022"
"Kaynes Technology India Limited","EQ","   587","KAYNES","10-NOV-2022","14-NOV-2022","Rs.559 to Rs.587","22-NOV-2022"
"Archean Chemical Industries Limited","EQ","   407","ACI","09-NOV-2022","11-NOV-2022","Rs.386 to Rs.407","21-NOV-2022"
"FiveStar Business Finance Limited","EQ","   474","FIVESTAR","09-NOV-2022","11-NOV-2022","Rs.450 to Rs.474","21-NOV-2022"
"Bikaji Foods International Limited","EQ","   300","BIKAJI","03-NOV-2022","07-NOV-2022","Rs.285 to Rs.300","16-NOV-2022"
"Global Health Limited","EQ","   336","MEDANTA","03-NOV-2022","07-NOV-2022","Rs.319 to Rs.336","16-NOV-2022"
"Fusion Micro Finance Limited","EQ","   368","FUSION","02-NOV-2022","04-NOV-2022","Rs.350 to Rs.368","15-NOV-2022"
"DCX System limited","EQ","-","DCX","31-OCT-2022","02-NOV-2022","Rs.197 to Rs.207","-"
"Tracxn Technologies Limited","EQ","    80","TRACXN","10-OCT-2022","12-OCT-2022","Rs.75 to Rs.80","20-OCT-2022"
"Electronics Mart India Limited","EQ","    59","EMIL","04-OCT-2022","07-OCT-2022","Rs.56 to Rs.59","17-OCT-2022"
"Harsha Engineers International Limited","EQ","   330","HARSHA","14-SEP-2022","16-SEP-2022","Rs.314 to Rs.330","26-SEP-2022"
"Tamilnad Mercantile Bank Limited","BE","   510","TMB","05-SEP-2022","07-SEP-2022","Rs.500 to Rs.525","15-SEP-2022"
"Dreamfolks Services Limited","EQ","   326","DREAMFOLKS","24-AUG-2022","26-AUG-2022","Rs.308 to Rs.326","06-SEP-2022"
"Syrma SGS Technology Limited","EQ","   220","SYRMA","12-AUG-2022","18-AUG-2022","Rs.209 to Rs.220","26-AUG-2022"
"Aether Industries Limited","EQ","   642","AETHER","24-MAY-2022","26-MAY-2022","Rs.610 to Rs.642","03-JUN-2022"
"eMudhra Limited","EQ","   256","EMUDHRA","20-MAY-2022","24-MAY-2022","Rs.243 to Rs.256","01-JUN-2022"
"ETHOS Limited","EQ","   878","ETHOSLTD","18-MAY-2022","20-MAY-2022","Rs.836 to Rs.878","30-MAY-2022"
"Paradeep Phosphates Limited","EQ","    42","PARADEEP","17-MAY-2022","19-MAY-2022","Rs.39 to Rs.42","27-MAY-2022"
"Delhivery Limited","EQ","   487","DELHIVERY","11-MAY-2022","13-MAY-2022","Rs.462 to Rs.487","24-MAY-2022"
"Venus Pipes and Tubes Limited","EQ","   326","VENUSPIPES","11-MAY-2022","13-MAY-2022","Rs.310 to Rs.326","24-MAY-2022"
"Prudent Corporate Advisory Services Limited","EQ","   630","PRUDENT","10-MAY-2022","12-MAY-2022","Rs.595 to Rs.630","20-MAY-2022"
"Life Insurance Corporation of India","EQ","   949","LICI","04-MAY-2022","09-MAY-2022","Rs.902 to Rs.949","17-MAY-2022"
"Rainbow Childrens Medicare Limited","EQ","   542","RAINBOW","27-APR-2022","29-APR-2022","Rs.516 to Rs.542","10-MAY-2022"
"Campus Activewear Limited","EQ","   292","CAMPUS","26-APR-2022","28-APR-2022","Rs.278 to Rs.292","09-MAY-2022"
"Hariom Pipe Industries Limited","BE","   153","HARIOMPIPE","30-MAR-2022","05-APR-2022","Rs.144 to Rs.153","13-APR-2022"
"Veranda Learning Solutions Limited","BE","   137","VERANDA","29-MAR-2022","31-MAR-2022","Rs.130 to Rs.137","11-APR-2022"
"UMA Exports Limited","BE","    68","UMAEXPORTS","28-MAR-2022","30-MAR-2022","Rs.65 to Rs.68","07-APR-2022"
"Ruchi Soya Industries Limited","EQ","    34","RUCHISOYA","24-MAR-2022","28-MAR-2022","Rs.615 to Rs.650","02-JAN-2003"
"Vedant Fashions Limited","EQ","   866","MANYAVAR","04-FEB-2022","08-FEB-2022","Rs.824 to Rs.866","16-FEB-2022"
"Adani Wilmar Limited","EQ","   230","AWL","27-JAN-2022","31-JAN-2022","Rs.218 to Rs.230","08-FEB-2022"
"AGS Transact Technologies Limited","EQ","   175","AGSTRA","19-JAN-2022","21-JAN-2022","Rs.166 to Rs.175","31-JAN-2022"
"CMS Info Systems Limited","EQ","   216","CMSINFO","21-DEC-2021","23-DEC-2021","Rs.205 to Rs.216","31-DEC-2021"
"Supriya Lifescience Limited","EQ","   274","SUPRIYA","16-DEC-2021","20-DEC-2021","Rs.265 to Rs.274","28-DEC-2021"
"HP Adhesives Limited","BE","   274","HPAL","15-DEC-2021","17-DEC-2021","Rs. 262 to Rs.274","27-DEC-2021"
"Data Patterns (India) Limited","EQ","   585","DATAPATTNS","14-DEC-2021","16-DEC-2021","Rs. 555 to Rs.585","24-DEC-2021"
"MedPlus Health Services Limited","EQ","   796","MEDPLUS","13-DEC-2021","15-DEC-2021","Rs. 780 to Rs.796","23-DEC-2021"
